user_id,graph_degree,graph_2hop_count,graph_comp_size,graph_clustering,graph_pagerank
61421,1,0,2,0.0,3.6e-05
61449,0,0,1,0.0,6e-06
61456,0,0,1,0.0,6e-06
61712,1,10,13672,0.0,8e-06
61868,0,0,1,0.0,6e-06
62360,0,0,1,0.0,6e-06
62984,0,0,1,0.0,6e-06
64342,0,0,1,0.0,6e-06
64916,0,0,1,0.0,6e-06
65080,0,0,1,0.0,6e-06
65095,2,0,3,0.0082,3.6e-05
65384,0,0,1,0.0,6e-06
65478,0,0,1,0.0,6e-06
66020,0,0,1,0.0,6e-06
66252,1,3,7,0.0,3.6e-05
66456,6,0,7,0.0082,3.6e-05
67463,110,2190,13672,0.0023,0.00013
67567,0,0,1,0.0,6e-06
67797,2,0,3,0.0082,3.6e-05
67930,0,0,1,0.0,6e-06
68216,12,12,13672,0.0082,3.7e-05
68601,0,0,1,0.0,6e-06
68814,0,0,1,0.0,6e-06
68895,4,12,13672,0.0086,2.3e-05
69022,1,0,2,0.0,3.6e-05
69041,0,0,1,0.0,6e-06
70102,1,0,2,0.0,3.6e-05
70177,11,966,13672,0.0097,1.8e-05
70329,0,0,1,0.0,6e-06
70685,0,0,1,0.0,6e-06
71152,1,1,13672,0.0,1.7e-05
71162,3,48,13672,0.0039,2.7e-05
71531,1,0,2,0.0,3.6e-05
72270,0,0,1,0.0,6e-06
72364,0,0,1,0.0,6e-06
72924,0,0,1,0.0,6e-06
73023,0,0,1,0.0,6e-06
73056,0,0,1,0.0,6e-06
73395,2,31,13672,0.0082,1.5e-05
74011,0,0,1,0.0,6e-06
74015,58,1636,13672,0.0037,7.2e-05
74049,0,0,1,0.0,6e-06
74316,1,0,2,0.0,3.6e-05
74448,0,0,1,0.0,6e-06
74794,2,97,13672,0.0,1.8e-05
75389,1,49,13672,0.0,7e-06
76031,0,0,1,0.0,6e-06
76258,0,0,1,0.0,6e-06
76782,0,0,1,0.0,6e-06
77052,0,0,1,0.0,6e-06
77064,0,0,1,0.0,6e-06
77272,0,0,1,0.0,6e-06
77373,0,0,1,0.0,6e-06
77483,0,0,1,0.0,6e-06
77534,51,989,13672,0.0036,6.6e-05
77854,51,419,13672,0.0043,8.5e-05
78049,0,0,1,0.0,6e-06
78743,2,7,13672,0.0,3.2e-05
78921,0,0,1,0.0,6e-06
79078,0,0,1,0.0,6e-06
79164,0,0,1,0.0,6e-06
79679,0,0,1,0.0,6e-06
79705,0,0,1,0.0,6e-06
79753,1,0,2,0.0,3.6e-05
79944,25,1064,13672,0.0073,3e-05
80050,18,85,13672,0.0082,3.8e-05
81083,0,0,1,0.0,6e-06
81106,0,0,1,0.0,6e-06
81387,0,0,1,0.0,6e-06
81499,46,237,13672,0.0082,4.6e-05
81558,0,0,1,0.0,6e-06
81640,36,219,13672,0.0073,5.7e-05
81715,0,0,1,0.0,6e-06
81749,0,0,1,0.0,6e-06
81858,0,0,1,0.0,6e-06
82195,3,82,13672,0.0,2.1e-05
83063,2,15,13672,0.0,2.3e-05
83485,0,0,1,0.0,6e-06
83493,0,0,1,0.0,6e-06
83555,0,0,1,0.0,6e-06
83762,0,0,1,0.0,6e-06
84075,0,0,1,0.0,6e-06
84845,0,0,1,0.0,6e-06
84892,0,0,1,0.0,6e-06
85095,0,0,1,0.0,6e-06
85346,0,0,1,0.0,6e-06
85625,0,0,1,0.0,6e-06
85957,0,0,1,0.0,6e-06
86120,0,0,1,0.0,6e-06
86154,1,5,13672,0.0,1e-05
86326,1,33,13672,0.0,1e-05
86455,0,0,1,0.0,6e-06
87760,0,0,1,0.0,6e-06
87844,0,0,1,0.0,6e-06
88566,0,0,1,0.0,6e-06
88771,1,5,13672,0.0,1.4e-05
88974,2,0,3,0.0,5.5e-05
89495,0,0,1,0.0,6e-06
90024,0,0,1,0.0,6e-06
90049,0,0,1,0.0,6e-06
90072,0,0,1,0.0,6e-06
90193,0,0,1,0.0,6e-06
90313,7,19,13672,0.0082,3.1e-05
90391,0,0,1,0.0,6e-06
90873,0,0,1,0.0,6e-06
91205,3,0,4,0.0125,5.9e-05
91466,0,0,1,0.0,6e-06
91904,0,0,1,0.0,6e-06
91960,4,119,13672,0.0,3.4e-05
92031,0,0,1,0.0,6e-06
92083,2,0,3,0.0,5.5e-05
92523,0,0,1,0.0,6e-06
92916,2,2,13672,0.0,4e-05
92929,0,0,1,0.0,6e-06
93000,0,0,1,0.0,6e-06
93164,0,0,1,0.0,6e-06
93195,0,0,1,0.0,6e-06
93349,1,7,13672,0.0,9e-06
94317,0,0,1,0.0,6e-06
94568,4,2,7,0.0014,7.5e-05
94779,0,0,1,0.0,6e-06
95235,0,0,1,0.0,6e-06
95398,48,2642,13672,0.0048,4.6e-05
95423,0,0,1,0.0,6e-06
95628,0,0,1,0.0,6e-06
96080,1,2,13672,0.0,2e-05
96367,0,0,1,0.0,6e-06
96598,0,0,1,0.0,6e-06
96819,14,285,13672,0.0082,2.7e-05
96877,0,0,1,0.0,6e-06
96884,0,0,1,0.0,6e-06
98543,36,600,13672,0.0077,4.1e-05
98550,0,0,1,0.0,6e-06
99138,0,0,1,0.0,6e-06
99316,0,0,1,0.0,6e-06
99661,0,0,1,0.0,6e-06
99682,0,0,1,0.0,6e-06
99696,0,0,1,0.0,6e-06
100013,13,32,13672,0.0082,3.8e-05
100060,0,0,1,0.0,6e-06
100343,0,0,1,0.0,6e-06
100622,3,35,13672,0.0,2.2e-05
101116,0,0,1,0.0,6e-06
101137,0,0,1,0.0,6e-06
102191,26,1202,13672,0.0064,3.5e-05
102294,0,0,1,0.0,6e-06
102370,0,0,1,0.0,6e-06
102374,1,6,13672,0.0,9e-06
102426,0,0,1,0.0,6e-06
102596,0,0,1,0.0,6e-06
102610,0,0,1,0.0,6e-06
102620,1,0,2,0.0,3.6e-05
102787,0,0,1,0.0,6e-06
103028,0,0,1,0.0,6e-06
103138,0,0,1,0.0,6e-06
103428,0,0,1,0.0,6e-06
103495,0,0,1,0.0,6e-06
104076,0,0,1,0.0,6e-06
104619,7,311,13672,0.0035,3.4e-05
104684,0,0,1,0.0,6e-06
104962,1,1,13672,0.0,1.8e-05
105127,37,1003,13672,0.0078,4.1e-05
105427,0,0,1,0.0,6e-06
105489,0,0,1,0.0,6e-06
105838,6,48,13672,0.0041,4e-05
105859,2,3,13672,0.0,3.4e-05
106087,0,0,1,0.0,6e-06
106251,0,0,1,0.0,6e-06
106290,0,0,1,0.0,6e-06
106873,0,0,1,0.0,6e-06
107791,0,0,1,0.0,6e-06
107848,0,0,1,0.0,6e-06
107871,0,0,1,0.0,6e-06
107888,0,0,1,0.0,6e-06
107919,0,0,1,0.0,6e-06
108385,269,2405,13672,0.0112,0.000198
108499,12,69,13672,0.0078,3.5e-05
108898,1,32,13672,0.0,8e-06
109120,0,0,1,0.0,6e-06
109130,0,0,1,0.0,6e-06
109162,0,0,1,0.0,6e-06
109492,64,2197,13672,0.008,6.7e-05
110027,1,0,2,0.0,3.6e-05
110203,2,1,13672,0.0082,3.2e-05
110545,0,0,1,0.0,6e-06
111034,0,0,1,0.0,6e-06
111122,0,0,1,0.0,6e-06
111564,1,0,2,0.0,3.6e-05
111568,0,0,1,0.0,6e-06
112376,2,157,13672,0.0,8e-06
112505,0,0,1,0.0,6e-06
113263,1,4,13672,0.0,1.4e-05
113344,4,62,13672,0.0176,1.3e-05
113518,0,0,1,0.0,6e-06
113995,0,0,1,0.0,6e-06
114041,0,0,1,0.0,6e-06
114069,0,0,1,0.0,6e-06
114365,0,0,1,0.0,6e-06
114468,0,0,1,0.0,6e-06
114614,1,5,13672,0.0,1.1e-05
114942,0,0,1,0.0,6e-06
115067,0,0,1,0.0,6e-06
115809,0,0,1,0.0,6e-06
115902,0,0,1,0.0,6e-06
116622,0,0,1,0.0,6e-06
116811,31,1359,13672,0.0097,2.2e-05
116970,0,0,1,0.0,6e-06
116988,0,0,1,0.0,6e-06
117041,0,0,1,0.0,6e-06
117137,0,0,1,0.0,6e-06
117213,0,0,1,0.0,6e-06
117217,0,0,1,0.0,6e-06
117529,1,0,2,0.0,3.6e-05
117865,1,0,2,0.0,3.6e-05
117934,31,445,13672,0.0077,4.1e-05
118292,5,248,13672,0.0109,1.6e-05
118781,0,0,1,0.0,6e-06
119020,0,0,1,0.0,6e-06
119554,0,0,1,0.0,6e-06
119706,0,0,1,0.0,6e-06
119732,1,0,2,0.0,3.6e-05
120233,0,0,1,0.0,6e-06
120502,1,3,13672,0.0,1.8e-05
120514,0,0,1,0.0,6e-06
120733,1,0,2,0.0,3.6e-05
121001,0,0,1,0.0,6e-06
121302,0,0,1,0.0,6e-06
121471,0,0,1,0.0,6e-06
121566,0,0,1,0.0,6e-06
121599,0,0,1,0.0,6e-06
121709,1,27,13672,0.0,7e-06
121738,0,0,1,0.0,6e-06
121951,1,8,13672,0.0,1.3e-05
122027,0,0,1,0.0,6e-06
122144,1,216,13672,0.0,7e-06
122214,0,0,1,0.0,6e-06
122421,0,0,1,0.0,6e-06
122627,0,0,1,0.0,6e-06
122687,1,0,2,0.0,3.6e-05
122979,0,0,1,0.0,6e-06
123310,0,0,1,0.0,6e-06
123380,0,0,1,0.0,6e-06
123400,0,0,1,0.0,6e-06
123513,55,1462,13672,0.007,3.8e-05
123550,0,0,1,0.0,6e-06
123559,27,132,13672,0.0082,4.2e-05
123748,0,0,1,0.0,6e-06
124094,0,0,1,0.0,6e-06
124347,0,0,1,0.0,6e-06
124430,0,0,1,0.0,6e-06
124500,0,0,1,0.0,6e-06
124519,0,0,1,0.0,6e-06
124927,0,0,1,0.0,6e-06
125073,0,0,1,0.0,6e-06
125152,0,0,1,0.0,6e-06
125190,0,0,1,0.0,6e-06
125299,0,0,1,0.0,6e-06
125433,2,20,13672,0.0,2.2e-05
125593,1,0,2,0.0,3.6e-05
125940,0,0,1,0.0,6e-06
126012,0,0,1,0.0,6e-06
126104,0,0,1,0.0,6e-06
126108,1,0,2,0.0,3.6e-05
126161,0,0,1,0.0,6e-06
126372,0,0,1,0.0,6e-06
126864,0,0,1,0.0,6e-06
127154,0,0,1,0.0,6e-06
127243,9,7,13672,0.0084,3.5e-05
127374,0,0,1,0.0,6e-06
127751,1,0,2,0.0,3.6e-05
127818,0,0,1,0.0,6e-06
128210,0,0,1,0.0,6e-06
128294,0,0,1,0.0,6e-06
128370,0,0,1,0.0,6e-06
128694,0,0,1,0.0,6e-06
128810,0,0,1,0.0,6e-06
128848,0,0,1,0.0,6e-06
128876,1,0,2,0.0,3.6e-05
128953,0,0,1,0.0,6e-06
129182,30,1208,13672,0.0083,2.9e-05
129287,1,1,13672,0.0,2.3e-05
129400,0,0,1,0.0,6e-06
129582,0,0,1,0.0,6e-06
129887,0,0,1,0.0,6e-06
129976,0,0,1,0.0,6e-06
130346,2,31,13672,0.0082,1.4e-05
130375,0,0,1,0.0,6e-06
130394,1,1,3,0.0,2.7e-05
130451,53,1596,13672,0.0045,5.8e-05
131330,0,0,1,0.0,6e-06
131828,0,0,1,0.0,6e-06
131978,1,4,13672,0.0,1.6e-05
132014,0,0,1,0.0,6e-06
132406,0,0,1,0.0,6e-06
132457,0,0,1,0.0,6e-06
132468,0,0,1,0.0,6e-06
132550,0,0,1,0.0,6e-06
132629,1,7,13672,0.0,1.4e-05
132856,0,0,1,0.0,6e-06
132971,0,0,1,0.0,6e-06
133606,0,0,1,0.0,6e-06
133612,0,0,1,0.0,6e-06
133677,0,0,1,0.0,6e-06
134116,2,0,3,0.0,5.5e-05
134448,0,0,1,0.0,6e-06
134521,1,0,2,0.0,3.6e-05
134616,0,0,1,0.0,6e-06
134874,4,29,13672,0.0052,2.4e-05
134948,0,0,1,0.0,6e-06
135746,0,0,1,0.0,6e-06
135751,0,0,1,0.0,6e-06
135864,27,1106,13672,0.0082,3.3e-05
135961,1,0,2,0.0,3.6e-05
136397,0,0,1,0.0,6e-06
136429,0,0,1,0.0,6e-06
136459,51,1100,13672,0.005,3.8e-05
136577,1,1,16,0.0,2.1e-05
136598,0,0,1,0.0,6e-06
136897,0,0,1,0.0,6e-06
136943,1,12,13672,0.0,9e-06
137000,2,0,3,0.0,5.5e-05
137012,0,0,1,0.0,6e-06
137293,48,1041,13672,0.0046,5.9e-05
137424,1,2,4,0.0,2.1e-05
137769,0,0,1,0.0,6e-06
138222,0,0,1,0.0,6e-06
138247,0,0,1,0.0,6e-06
138257,0,0,1,0.0,6e-06
138314,0,0,1,0.0,6e-06
138658,0,0,1,0.0,6e-06
138766,1,1,13672,0.0,1.6e-05
138957,15,18,13672,0.0082,4.1e-05
139040,0,0,1,0.0,6e-06
139081,2,2,13672,0.0082,3e-05
139154,1,47,13672,0.0,1e-05
139413,0,0,1,0.0,6e-06
139441,0,0,1,0.0,6e-06
139478,0,0,1,0.0,6e-06
139512,0,0,1,0.0,6e-06
139560,0,0,1,0.0,6e-06
139675,0,0,1,0.0,6e-06
139688,13,1474,13672,0.0086,2e-05
139867,0,0,1,0.0,6e-06
140656,131,2483,13672,0.0046,0.000224
140763,0,0,1,0.0,6e-06
141403,0,0,1,0.0,6e-06
141434,0,0,1,0.0,6e-06
141539,0,0,1,0.0,6e-06
141648,39,1270,13672,0.0083,3.3e-05
141681,0,0,1,0.0,6e-06
141732,1,39,13672,0.0,7e-06
141930,43,124,13672,0.0052,6.5e-05
142128,0,0,1,0.0,6e-06
142294,1,0,2,0.0,3.6e-05
142308,0,0,1,0.0,6e-06
142333,0,0,1,0.0,6e-06
142490,1,14,13672,0.0,9e-06
142656,0,0,1,0.0,6e-06
142710,0,0,1,0.0,6e-06
142733,0,0,1,0.0,6e-06
142932,1,2,4,0.0,2.4e-05
143550,0,0,1,0.0,6e-06
143785,0,0,1,0.0,6e-06
143851,0,0,1,0.0,6e-06
143943,0,0,1,0.0,6e-06
144047,0,0,1,0.0,6e-06
144322,0,0,1,0.0,6e-06
144852,16,712,13672,0.0082,2.9e-05
144948,0,0,1,0.0,6e-06
145745,0,0,1,0.0,6e-06
145825,0,0,1,0.0,6e-06
145897,0,0,1,0.0,6e-06
146030,0,0,1,0.0,6e-06
146110,1,82,13672,0.0,7e-06
146145,0,0,1,0.0,6e-06
146188,2,0,3,0.0103,4e-05
146203,0,0,1,0.0,6e-06
146294,0,0,1,0.0,6e-06
146511,0,0,1,0.0,6e-06
146763,0,0,1,0.0,6e-06
147228,1,80,13672,0.0,7e-06
147977,0,0,1,0.0,6e-06
148046,0,0,1,0.0,6e-06
148068,1,1,3,0.0,2.7e-05
148417,0,0,1,0.0,6e-06
148625,0,0,1,0.0,6e-06
148670,3,18,13672,0.0027,3.1e-05
148749,0,0,1,0.0,6e-06
148789,0,0,1,0.0,6e-06
149247,0,0,1,0.0,6e-06
149343,0,0,1,0.0,6e-06
150158,0,0,1,0.0,6e-06
150375,0,0,1,0.0,6e-06
151385,43,594,13672,0.0083,4.1e-05
151469,0,0,1,0.0,6e-06
151609,0,0,1,0.0,6e-06
152241,0,0,1,0.0,6e-06
152562,0,0,1,0.0,6e-06
152863,0,0,1,0.0,6e-06
152962,0,0,1,0.0,6e-06
152986,0,0,1,0.0,6e-06
153238,15,508,13672,0.0083,2.2e-05
153307,0,0,1,0.0,6e-06
153381,0,0,1,0.0,6e-06
153477,0,0,1,0.0,6e-06
153707,0,0,1,0.0,6e-06
154179,0,0,1,0.0,6e-06
154307,34,1050,13672,0.0111,2.2e-05
154774,0,0,1,0.0,6e-06
154784,1,21,13672,0.0,8e-06
154807,13,803,13672,0.0082,2.8e-05
154937,0,0,1,0.0,6e-06
155064,0,0,1,0.0,6e-06
155068,0,0,1,0.0,6e-06
155184,0,0,1,0.0,6e-06
155418,0,0,1,0.0,6e-06
155433,1,1,13672,0.0,2.1e-05
155690,52,1087,13672,0.0045,7.7e-05
155874,0,0,1,0.0,6e-06
156009,73,1600,13672,0.0096,6.9e-05
156086,21,547,13672,0.0086,2.3e-05
156136,0,0,1,0.0,6e-06
156212,0,0,1,0.0,6e-06
156274,0,0,1,0.0,6e-06
156419,11,951,13672,0.0085,1.8e-05
156522,0,0,1,0.0,6e-06
156790,0,0,1,0.0,6e-06
156973,0,0,1,0.0,6e-06
157039,0,0,1,0.0,6e-06
157217,47,1357,13672,0.0047,5.3e-05
157289,1,0,2,0.0,3.6e-05
157483,0,0,1,0.0,6e-06
157517,0,0,1,0.0,6e-06
158049,0,0,1,0.0,6e-06
158066,0,0,1,0.0,6e-06
158274,1,0,2,0.0,3.6e-05
158497,0,0,1,0.0,6e-06
158742,1,0,2,0.0,3.6e-05
158780,0,0,1,0.0,6e-06
159088,0,0,1,0.0,6e-06
159092,0,0,1,0.0,6e-06
159749,0,0,1,0.0,6e-06
159820,0,0,1,0.0,6e-06
160484,1,5,13672,0.0,1.2e-05
160542,0,0,1,0.0,6e-06
160698,61,1699,13672,0.0054,4.3e-05
160874,0,0,1,0.0,6e-06
161058,0,0,1,0.0,6e-06
161143,1,18,13672,0.0,8e-06
161341,0,0,1,0.0,6e-06
